login_hour,session_duration,failed_logins,pages_visited,data_transferred,label
15,64,1,11,360,0
18,54,1,6,321,0
8,94,1,8,200,0
17,70,0,18,60,0
16,19,1,5,111,0
18,113,0,27,446,0
12,59,0,16,227,0
8,116,0,17,150,0
17,100,1,19,78,0
11,101,0,10,262,0
10,41,1,14,254,0
12,81,0,8,76,0
12,16,0,28,490,0
16,5,1,19,209,0
18,6,0,4,96,0
8,63,0,11,453,0
11,99,1,13,304,0
16,70,1,24,288,0
9,62,0,21,442,0
15,106,0,8,332,0
14,64,1,27,46,0
12,102,1,24,251,0
9,47,1,4,261,0
11,7,0,1,26,0
8,18,0,11,332,0
18,53,1,6,143,0
9,79,0,15,255,0
9,112,1,13,133,0
17,27,0,15,100,0
17,48,0,3,182,0
18,15,1,17,18,0
16,86,1,25,43,0
9,43,0,30,98,0
15,47,0,4,241,0
8,18,0,16,154,0
17,116,1,17,62,0
10,84,0,9,376,0
13,54,0,22,95,0
10,40,0,24,196,0
15,71,0,3,122,0
10,77,0,22,250,0
9,5,0,25,77,0
13,120,0,3,417,0
16,15,0,9,447,0
12,60,1,16,423,0
8,5,1,12,446,0
15,107,0,1,54,0
17,61,1,29,495,0
11,66,1,22,248,0
9,49,0,4,261,0
16,90,0,12,236,0
15,67,1,2,111,0
16,13,1,8,287,0
8,98,0,15,440,0
11,84,1,26,294,0
14,92,0,26,61,0
10,30,0,4,254,0
13,6,1,19,61,0
9,58,1,18,393,0
11,46,0,14,85,0
10,34,0,10,353,0
8,92,0,18,462,0
17,62,0,5,328,0
13,10,0,7,353,0
17,22,0,5,19,0
17,106,0,17,85,0
14,26,1,26,37,0
8,114,1,13,171,0
8,102,1,24,58,0
9,51,1,11,77,0
16,16,0,23,479,0
9,75,1,23,321,0
10,117,1,12,353,0
8,81,1,13,365,0
16,38,0,18,199,0
18,11,1,20,428,0
12,45,1,15,148,0
10,52,0,27,352,0
15,75,0,29,342,0
13,17,0,20,448,0
10,71,0,25,389,0
14,64,0,13,476,0
18,6,1,8,453,0
13,77,0,6,256,0
17,108,1,11,380,0
11,104,0,6,229,0
16,57,0,18,395,0
8,17,1,21,243,0
9,117,0,11,31,0
10,25,1,4,380,0
13,111,0,20,460,0
16,7,1,9,473,0
10,48,0,19,401,0
17,14,0,28,356,0
11,16,1,27,228,0
16,21,0,19,238,0
18,73,0,29,231,0
14,113,1,25,391,0
17,83,0,24,354,0
14,61,1,12,149,0
12,115,0,25,475,0
8,51,1,20,120,0
14,39,1,19,363,0
16,53,1,22,182,0
10,115,1,4,478,0
8,95,0,1,44,0
14,99,0,29,149,0
8,92,1,29,71,0
16,109,0,25,171,0
10,51,1,13,454,0
10,36,1,29,370,0
18,39,1,29,373,0
18,62,0,28,180,0
17,27,0,20,51,0
17,60,1,14,244,0
15,37,1,30,136,0
13,49,0,26,28,0
16,96,1,8,404,0
11,91,0,15,280,0
12,77,1,14,57,0
17,11,0,20,393,0
10,21,1,21,140,0
10,22,0,15,497,0
14,113,0,18,430,0
16,99,0,5,247,0
8,22,1,8,45,0
11,27,0,12,378,0
11,24,0,7,370,0
15,85,1,14,459,0
16,119,0,3,185,0
17,81,0,19,67,0
12,69,0,4,62,0
12,55,0,7,428,0
15,107,0,19,47,0
16,40,1,10,38,0
17,30,0,9,362,0
14,68,1,3,476,0
12,70,1,19,109,0
14,33,0,30,206,0
8,38,0,18,275,0
11,52,0,1,468,0
10,21,0,7,371,0
16,45,0,30,466,0
13,87,0,25,475,0
10,66,0,17,335,0
9,27,1,23,378,0
13,68,0,29,158,0
16,8,1,17,105,0
12,58,1,16,303,0
17,31,1,12,329,0
10,116,0,22,174,0
15,79,1,26,345,0
17,55,1,25,30,0
14,56,1,10,456,0
17,64,1,15,485,0
12,25,0,9,440,0
15,49,0,12,334,0
13,10,0,3,196,0
13,12,1,22,351,0
17,35,1,4,158,0
11,11,1,20,410,0
18,107,1,4,497,0
12,39,1,12,308,0
14,65,1,8,83,0
12,77,1,10,429,0
12,39,1,22,447,0
8,18,0,25,415,0
10,102,1,11,378,0
17,92,1,9,128,0
12,118,1,20,274,0
14,29,1,3,41,0
8,69,0,22,183,0
16,75,1,3,183,0
9,94,1,24,82,0
17,64,1,23,232,0
15,19,0,9,106,0
14,111,0,26,431,0
17,103,0,7,129,0
14,60,1,16,318,0
14,60,1,20,472,0
10,18,1,10,397,0
15,68,0,27,382,0
11,36,1,23,421,0
15,117,0,5,332,0
9,58,0,19,306,0
18,43,0,3,163,0
13,21,1,3,207,0
13,48,1,17,137,0
11,44,1,10,53,0
10,74,0,23,406,0
11,67,0,2,477,0
8,91,0,4,445,0
9,6,0,21,97,0
9,37,0,28,400,0
9,119,1,23,176,0
17,6,0,18,205,0
15,15,0,22,227,0
14,66,0,9,391,0
9,10,0,3,18,0
16,78,1,22,335,0
16,97,1,16,250,0
10,23,0,20,462,0
17,53,1,25,421,0
16,50,1,3,494,0
17,76,1,13,62,0
18,43,1,6,57,0
13,53,1,14,395,0
11,60,0,14,355,0
18,57,0,24,243,0
13,21,1,6,319,0
15,17,1,4,259,0
9,91,0,27,14,0
11,22,0,29,434,0
16,9,0,2,211,0
16,68,0,8,80,0
13,96,1,27,261,0
10,79,0,4,178,0
11,18,0,9,281,0
17,103,0,13,467,0
15,76,0,23,333,0
10,6,0,9,260,0
17,33,1,20,397,0
13,119,1,8,290,0
13,11,1,4,153,0
11,120,0,17,301,0
14,88,0,17,288,0
11,64,0,19,220,0
8,12,0,7,476,0
17,19,0,16,253,0
13,10,1,23,339,0
12,112,0,19,166,0
14,98,0,10,160,0
14,7,1,27,424,0
9,24,0,11,287,0
17,63,0,4,451,0
9,16,1,5,227,0
15,116,0,18,180,0
11,104,0,28,403,0
10,78,0,27,424,0
11,120,0,27,236,0
17,61,1,17,292,0
15,98,0,18,498,0
15,53,1,29,22,0
10,86,1,14,75,0
9,76,0,17,49,0
17,42,0,8,209,0
14,56,0,18,66,0
17,110,1,26,396,0
11,109,1,6,98,0
17,6,0,19,323,0
18,96,1,28,322,0
16,49,0,11,292,0
10,66,0,19,381,0
11,60,0,19,403,0
14,84,0,15,193,0
17,102,0,18,194,0
17,65,0,13,290,0
12,7,0,1,144,0
18,64,0,13,429,0
17,18,1,2,106,0
16,107,1,8,321,0
9,75,0,19,411,0
15,75,1,29,314,0
11,76,1,8,268,0
11,37,0,12,28,0
12,86,0,11,379,0
12,47,0,29,255,0
18,86,1,30,261,0
15,76,1,18,238,0
9,29,1,18,473,0
17,82,1,14,266,0
12,72,0,2,182,0
13,43,0,26,327,0
8,66,0,30,191,0
18,101,0,21,416,0
15,15,0,17,371,0
18,46,1,20,416,0
14,50,0,13,429,0
11,72,1,9,27,0
13,37,0,26,269,0
17,45,1,22,185,0
11,9,0,13,120,0
17,49,0,18,389,0
10,97,0,4,125,0
11,90,1,13,472,0
13,21,0,16,484,0
11,47,0,17,486,0
15,38,0,9,392,0
8,8,1,3,60,0
8,28,0,1,179,0
15,69,1,29,349,0
14,73,1,23,401,0
9,64,1,20,173,0
17,31,0,4,14,0
11,30,0,26,147,0
17,46,0,14,340,0
18,109,0,5,486,0
17,63,0,14,406,0
18,71,0,22,489,0
18,68,1,23,223,0
14,25,1,13,297,0
14,116,0,17,15,0
10,112,1,1,317,0
8,59,0,18,452,0
17,98,1,21,49,0
14,106,1,18,118,0
18,115,0,20,274,0
13,14,0,2,261,0
13,83,0,18,70,0
18,64,1,12,291,0
14,43,1,11,460,0
14,92,1,10,202,0
14,40,1,15,382,0
10,22,1,19,300,0
17,27,0,29,51,0
8,44,1,18,402,0
18,11,0,19,31,0
12,11,0,4,55,0
12,86,0,13,320,0
9,41,0,11,329,0
14,43,1,18,238,0
14,85,0,16,14,0
10,72,1,6,18,0
13,53,0,19,191,0
13,65,0,18,306,0
10,61,0,25,125,0
16,22,1,22,251,0
17,108,1,28,265,0
17,103,0,23,120,0
9,21,1,29,41,0
13,45,1,16,420,0
13,14,1,23,340,0
16,26,0,22,416,0
17,113,0,27,213,0
10,77,0,5,465,0
11,5,1,5,339,0
12,7,0,27,151,0
9,92,0,5,474,0
15,64,0,9,63,0
12,50,1,25,329,0
17,51,0,6,237,0
15,98,1,13,85,0
13,38,1,25,156,0
13,49,1,21,307,0
12,108,0,13,384,0
12,97,1,23,337,0
16,13,0,15,344,0
8,99,0,11,143,0
17,24,1,15,160,0
11,86,0,3,264,0
11,24,1,5,147,0
10,90,0,19,244,0
15,110,1,16,339,0
16,33,0,3,104,0
14,51,1,3,181,0
15,31,1,26,188,0
12,28,0,7,87,0
15,40,1,21,312,0
18,65,1,24,63,0
17,11,0,3,183,0
17,8,0,18,108,0
18,108,0,21,292,0
9,96,0,18,417,0
9,70,0,18,16,0
18,95,0,5,233,0
8,104,1,9,473,0
17,20,1,20,449,0
17,12,0,18,102,0
18,33,0,30,403,0
14,106,0,2,322,0
9,16,1,3,380,0
14,91,1,20,220,0
16,109,1,20,257,0
14,55,0,23,262,0
15,37,1,10,324,0
8,22,0,6,41,0
10,57,0,30,117,0
16,10,1,2,194,0
18,58,0,10,441,0
18,6,0,21,264,0
14,32,0,5,353,0
13,37,1,27,170,0
10,79,0,3,258,0
8,73,0,10,354,0
9,7,0,14,495,0
14,90,0,14,311,0
8,32,0,11,473,0
18,88,0,27,420,0
14,38,0,8,83,0
8,66,0,23,481,0
14,19,0,29,321,0
10,111,1,4,44,0
11,67,0,7,29,0
8,99,0,24,172,0
8,53,1,19,217,0
13,49,1,15,492,0
15,80,1,17,188,0
9,83,0,24,393,0
14,53,1,17,156,0
10,87,1,28,19,0
13,71,1,2,326,0
16,41,0,25,227,0
12,78,0,1,348,0
10,31,0,23,102,0
17,53,1,15,447,0
11,112,0,16,43,0
9,113,0,17,394,0
16,40,0,17,55,0
11,86,0,25,86,0
8,119,0,8,97,0
17,114,0,23,368,0
15,53,1,7,191,0
10,72,0,30,160,0
12,49,1,7,189,0
8,90,1,9,227,0
15,20,1,25,60,0
13,116,1,3,478,0
18,56,1,25,470,0
15,36,0,6,324,0
8,23,1,5,426,0
9,116,0,15,161,0
16,59,0,30,356,0
12,12,0,8,476,0
15,55,1,27,48,0
14,37,1,3,266,0
11,85,0,4,54,0
15,36,0,5,86,0
11,51,1,11,355,0
18,63,0,6,380,0
14,11,1,8,24,0
16,36,1,28,286,0
10,106,1,30,171,0
18,97,1,13,77,0
16,117,0,6,211,0
8,105,1,23,114,0
17,47,0,5,331,0
18,118,1,6,268,0
9,98,0,29,54,0
16,46,0,11,376,0
9,14,0,4,494,0
16,71,0,16,12,0
14,116,1,29,272,0
15,41,1,29,484,0
15,9,0,29,84,0
14,23,1,14,308,0
18,90,1,28,70,0
18,13,1,4,471,0
15,113,1,21,471,0
12,49,0,30,437,0
8,18,1,10,10,0
11,61,1,1,217,0
12,36,0,5,173,0
11,18,0,7,231,0
17,50,0,28,486,0
8,78,0,7,374,0
10,46,0,18,415,0
14,58,1,17,324,0
16,6,0,15,427,0
13,87,0,18,108,0
11,84,0,9,230,0
9,95,0,26,168,0
18,118,1,12,142,0
8,34,1,2,16,0
11,98,0,7,216,0
17,66,1,21,272,0
11,107,0,26,73,0
9,72,0,10,458,0
10,36,1,23,111,0
17,78,1,18,98,0
13,34,1,5,88,0
12,60,1,25,455,0
15,92,1,11,192,0
16,10,0,17,439,0
13,52,0,9,412,0
8,29,1,17,267,0
11,109,0,16,306,0
14,47,0,22,443,0
14,88,0,27,467,0
8,80,1,11,70,0
13,105,0,29,422,0
16,104,1,9,269,0
17,99,0,6,79,0
14,40,0,27,31,0
15,108,0,6,350,0
15,57,1,26,13,0
14,95,1,1,142,0
8,49,1,9,174,0
14,7,1,26,335,0
9,117,1,27,31,0
10,49,0,10,61,0
13,60,1,13,239,0
12,22,1,5,293,0
11,19,1,26,377,0
14,87,1,2,452,0
11,74,1,28,392,0
15,57,1,29,142,0
17,98,0,19,158,0
17,101,0,1,290,0
17,34,1,12,65,0
16,64,1,30,132,0
8,18,1,5,289,0
8,103,0,23,119,0
11,27,1,10,189,0
8,11,0,10,263,0
14,120,0,16,179,0
12,99,1,27,420,0
14,73,1,19,241,0
17,72,1,17,20,0
11,66,1,21,181,0
11,94,0,20,172,0
17,32,1,4,463,0
8,31,0,13,188,0
17,101,1,30,369,0
9,27,0,19,417,0
10,32,0,11,88,0
10,64,1,16,117,0
14,25,1,7,284,0
18,9,0,26,253,0
13,23,1,28,383,0
16,27,0,27,108,0
8,64,0,24,387,0
14,24,1,18,283,0
15,30,0,18,124,0
18,104,0,22,208,0
9,60,0,14,336,0
8,98,0,6,486,0
8,116,1,11,43,0
9,107,1,5,149,0
16,82,1,16,386,0
15,102,1,30,57,0
11,82,0,16,268,0
11,5,1,2,431,0
8,103,1,1,310,0
18,42,0,6,149,0
9,93,1,25,217,0
9,69,1,17,39,0
14,106,0,28,72,0
10,5,1,23,413,0
8,51,0,14,439,0
18,118,1,1,97,0
9,75,1,28,198,0
9,50,0,21,338,0
14,60,0,23,149,0
18,27,1,1,154,0
13,6,1,18,367,0
15,27,0,26,354,0
15,113,0,21,446,0
13,46,0,13,33,0
11,73,0,8,149,0
17,30,1,25,268,0
10,43,0,7,92,0
12,66,1,23,380,0
9,113,0,4,313,0
13,8,1,6,28,0
15,55,0,22,183,0
9,61,0,4,460,0
13,109,1,25,163,0
10,6,1,14,377,0
18,117,0,28,172,0
16,99,0,27,315,0
16,41,0,25,304,0
14,43,1,28,452,0
15,57,0,17,357,0
13,30,1,11,122,0
11,42,0,14,192,0
13,113,1,16,255,0
16,91,0,3,235,0
17,102,0,16,16,0
18,111,0,27,210,0
18,54,1,29,293,0
9,97,0,23,333,0
9,10,0,11,493,0
12,114,1,20,12,0
14,73,0,14,252,0
12,108,0,26,463,0
18,74,0,13,452,0
11,30,1,29,348,0
8,109,1,6,438,0
15,39,0,20,181,0
13,14,1,30,15,0
10,45,0,22,290,0
11,19,1,18,119,0
13,36,0,28,414,0
13,73,0,2,468,0
16,30,0,17,251,0
18,14,0,26,477,0
14,89,1,7,332,0
10,87,0,18,56,0
16,66,1,6,359,0
15,52,1,3,57,0
11,35,0,30,188,0
15,15,1,6,155,0
13,47,0,1,466,0
13,13,1,30,127,0
15,90,0,23,217,0
10,102,0,16,349,0
11,24,0,9,363,0
18,17,0,19,250,0
14,108,1,3,494,0
11,94,1,15,432,0
8,14,0,30,435,0
14,87,1,22,112,0
14,7,1,26,25,0
16,57,1,24,369,0
9,52,1,19,265,0
16,22,1,8,332,0
15,7,1,11,372,0
15,71,1,6,59,0
16,25,1,26,16,0
9,51,0,23,399,0
9,57,1,3,288,0
11,62,0,2,99,0
13,103,1,8,83,0
9,25,0,24,320,0
16,74,1,10,153,0
18,84,1,26,266,0
16,66,1,15,321,0
17,95,1,13,425,0
10,82,1,5,168,0
14,69,1,28,495,0
8,58,1,8,414,0
16,8,1,7,72,0
8,30,1,14,254,0
15,40,1,27,94,0
15,5,0,20,473,0
10,5,1,21,430,0
14,106,1,21,231,0
10,81,0,14,335,0
12,77,1,20,472,0
12,9,1,28,397,0
17,47,1,27,311,0
8,46,0,4,464,0
13,97,0,22,398,0
9,25,1,7,87,0
18,27,0,29,471,0
11,21,1,22,16,0
8,36,1,3,414,0
8,54,0,3,57,0
17,33,1,4,476,0
15,38,1,3,167,0
10,25,0,11,475,0
12,7,1,3,376,0
15,80,1,4,383,0
14,28,0,17,292,0
15,38,1,18,424,0
8,75,0,26,464,0
9,96,0,12,384,0
14,42,0,16,54,0
8,112,1,10,296,0
17,14,1,24,31,0
13,44,0,21,162,0
14,25,1,7,126,0
12,28,1,10,435,0
9,54,1,10,147,0
11,74,0,28,468,0
17,68,1,20,200,0
10,113,0,12,79,0
9,97,0,22,354,0
18,98,0,20,40,0
15,64,0,17,438,0
18,80,0,22,252,0
14,105,0,26,368,0
8,22,1,11,391,0
11,56,0,7,68,0
14,40,1,20,490,0
8,5,1,3,462,0
8,116,0,23,131,0
9,34,1,30,433,0
15,106,0,11,203,0
18,61,1,7,428,0
14,63,1,21,373,0
16,65,1,29,441,0
18,105,1,12,480,0
17,109,0,7,306,0
10,42,0,16,54,0
12,116,0,2,313,0
15,65,0,20,190,0
15,67,1,25,199,0
11,28,0,11,56,0
11,64,1,5,336,0
18,108,1,13,81,0
13,93,0,19,395,0
16,60,0,17,122,0
12,82,0,7,180,0
11,15,1,13,118,0
11,82,1,21,305,0
16,60,0,23,211,0
11,91,0,17,167,0
17,94,0,10,496,0
9,95,0,11,467,0
9,26,1,18,262,0
8,14,0,11,30,0
18,29,0,3,500,0
18,102,1,16,314,0
8,106,1,29,410,0
13,66,1,6,315,0
10,14,1,1,236,0
17,91,0,16,76,0
11,118,0,10,353,0
15,119,0,27,20,0
14,46,0,13,337,0
16,103,1,24,225,0
15,88,0,24,120,0
11,105,0,2,231,0
8,104,1,19,309,0
13,96,0,30,103,0
11,63,0,11,483,0
8,18,1,27,425,0
13,51,0,6,232,0
15,81,1,7,497,0
14,81,1,21,389,0
13,50,1,23,496,0
18,104,1,27,103,0
15,73,1,8,309,0
8,78,1,23,133,0
10,67,0,14,78,0
14,107,1,14,404,0
13,31,0,20,49,0
16,51,0,27,357,0
12,21,0,11,13,0
18,116,1,14,33,0
8,32,0,16,404,0
15,17,0,14,69,0
16,80,1,23,422,0
11,54,0,6,216,0
11,86,1,14,90,0
15,62,0,23,385,0
17,114,1,19,169,0
11,72,1,1,463,0
17,32,0,18,320,0
15,27,1,22,330,0
9,96,1,22,321,0
15,93,0,18,423,0
13,56,0,25,172,0
13,74,1,2,478,0
17,87,1,30,163,0
10,26,1,21,245,0
14,73,1,14,477,0
13,31,1,17,236,0
12,20,0,21,11,0
16,51,0,12,99,0
11,72,1,6,14,0
12,58,1,20,245,0
11,69,0,27,489,0
13,69,1,24,302,0
15,43,0,29,401,0
10,64,1,30,485,0
18,33,1,28,274,0
12,36,0,29,347,0
9,27,1,19,36,0
16,117,0,3,425,0
9,63,1,3,135,0
14,5,0,16,434,0
9,28,0,12,484,0
14,102,1,18,257,0
8,19,0,11,364,0
8,86,1,30,124,0
10,112,1,2,432,0
14,42,0,21,131,0
12,60,0,26,37,0
9,42,1,13,431,0
11,69,1,27,72,0
15,53,1,27,450,0
15,67,1,10,274,0
16,68,0,20,344,0
15,11,1,17,355,0
10,30,1,4,480,0
18,56,0,12,268,0
13,34,1,10,264,0
14,49,1,30,226,0
15,71,0,19,461,0
18,96,0,11,173,0
18,83,0,1,79,0
18,79,0,25,176,0
8,54,1,9,98,0
14,30,1,7,392,0
9,14,0,11,22,0
17,102,0,25,287,0
14,21,1,21,294,0
10,103,1,7,43,0
9,118,0,12,454,0
8,79,0,13,446,0
14,60,0,30,13,0
13,15,0,26,53,0
15,100,1,25,457,0
13,101,0,10,493,0
13,77,1,9,437,0
15,20,1,9,255,0
12,78,0,3,324,0
14,36,0,21,222,0
11,113,0,29,162,0
15,101,0,18,47,0
15,112,0,23,71,0
13,63,0,5,65,0
9,43,0,20,60,0
16,116,1,15,478,0
9,81,1,15,330,0
16,108,1,1,364,0
15,99,0,26,248,0
9,73,0,18,491,0
8,73,0,21,133,0
12,115,1,13,107,0
16,27,1,16,420,0
13,97,0,22,301,0
17,66,0,12,272,0
17,70,0,28,385,0
15,114,1,24,261,0
16,40,0,11,353,0
16,81,0,16,65,0
10,62,0,15,362,0
11,82,0,27,240,0
8,11,0,5,210,0
13,92,0,28,492,0
17,32,1,3,117,0
11,8,1,7,331,0
18,18,0,3,264,0
9,13,1,29,210,0
14,12,0,2,58,0
11,78,1,30,241,0
18,75,0,17,119,0
10,63,0,29,261,0
11,28,1,29,384,0
8,17,0,15,111,0
8,60,1,18,191,0
8,50,1,17,17,0
15,111,1,10,285,0
15,10,1,17,480,0
11,60,0,10,36,0
9,63,1,28,445,0
14,53,0,11,59,0
13,91,0,25,332,0
11,48,1,18,409,0
12,15,1,19,355,0
10,32,0,21,466,0
8,16,0,20,45,0
16,64,0,15,280,0
18,66,1,14,483,0
11,12,0,15,498,0
8,71,0,19,233,0
9,34,1,18,262,0
17,49,0,22,349,0
16,37,1,25,405,0
13,102,1,22,33,0
14,13,0,29,202,0
17,63,1,2,70,0
17,25,1,8,350,0
8,34,1,22,486,0
11,65,0,11,336,0
8,98,0,12,331,0
17,91,1,16,131,0
15,100,0,20,490,0
16,116,1,8,324,0
8,103,1,18,406,0
15,46,0,12,104,0
10,5,1,1,255,0
12,74,1,16,18,0
8,97,1,7,350,0
13,40,0,26,235,0
13,61,1,17,71,0
14,16,0,25,172,0
10,104,1,10,27,0
14,41,1,10,35,0
9,75,0,19,248,0
11,80,1,11,255,0
13,94,1,21,257,0
11,25,0,3,298,0
10,60,0,11,280,0
18,77,0,24,482,0
14,45,0,14,350,0
12,43,0,19,432,0
18,95,0,12,46,0
10,79,0,29,162,0
16,104,1,14,136,0
8,112,0,23,65,0
10,84,0,15,17,0
8,70,1,2,315,0
13,59,0,22,244,0
14,114,1,29,120,0
16,39,0,11,10,0
11,30,0,5,500,0
14,7,0,26,212,0
14,91,0,27,424,0
11,78,1,10,45,0
18,7,0,26,401,0
8,105,1,19,347,0
12,67,1,7,384,0
14,116,0,14,182,0
17,78,0,21,373,0
14,7,1,3,292,0
10,28,0,12,372,0
18,72,0,17,247,0
15,87,0,15,195,0
16,59,1,30,259,0
14,5,1,28,31,0
9,93,0,17,495,0
8,71,1,24,425,0
8,29,1,18,24,0
17,36,0,7,75,0
15,100,1,6,174,0
18,105,1,23,305,0
17,62,1,29,347,0
18,96,1,16,185,0
15,31,0,28,242,0
17,99,1,28,361,0
10,82,0,9,113,0
10,91,1,15,362,0
18,42,0,5,464,0
17,83,1,4,226,0
16,106,0,7,448,0
11,64,0,11,22,0
10,76,1,8,205,0
15,49,1,6,46,0
17,18,0,1,380,0
18,96,0,17,389,0
11,112,1,10,283,0
13,17,1,9,347,0
10,24,1,3,108,0
16,13,1,21,268,0
13,119,1,13,17,0
11,36,0,28,437,0
13,98,1,5,41,0
9,29,1,8,29,0
14,105,0,15,425,0
10,90,0,21,162,0
11,39,0,23,260,0
16,86,1,17,197,0
18,73,0,14,174,0
16,30,0,30,227,0
8,13,1,13,415,0
10,50,0,19,11,0
9,102,1,1,245,0
10,31,1,4,475,0
10,59,1,30,355,0
17,89,0,1,67,0
13,106,0,22,455,0
8,46,0,17,192,0
15,99,1,7,445,0
15,110,1,6,100,0
14,54,0,7,233,0
13,95,1,10,219,0
14,88,1,8,304,0
9,89,0,1,267,0
8,31,1,19,229,0
11,89,1,16,315,0
9,115,1,25,72,0
11,89,1,25,141,0
12,43,1,28,492,0
11,59,0,13,337,0
15,89,1,12,230,0
8,66,0,28,38,0
10,71,0,9,88,0
16,20,1,28,290,0
17,69,1,6,489,0
15,54,0,11,460,0
16,89,0,3,51,0
18,17,1,14,477,0
18,87,1,18,113,0
8,62,0,29,481,0
8,44,0,8,224,0
14,75,1,28,233,0
9,111,1,29,232,0
9,107,0,25,453,0
16,23,0,18,251,0
16,100,0,5,281,0
12,49,1,26,168,0
11,83,0,6,384,0
10,73,0,28,92,0
17,22,0,17,226,0
13,83,0,25,375,0
17,22,0,6,186,0
16,70,0,4,410,0
13,114,0,10,73,0
17,13,0,12,480,0
10,35,1,14,255,0
14,96,0,4,319,0
17,56,0,27,276,0
12,99,1,19,319,0
14,115,0,22,238,0
11,72,1,3,178,0
12,85,0,28,212,0
18,105,1,5,153,0
15,74,0,9,214,0
9,113,0,14,309,0
13,75,1,25,471,0
10,58,0,11,335,0
15,79,0,10,25,0
15,98,0,26,293,0
18,110,0,4,447,0
16,100,1,24,167,0
14,93,1,16,11,0
18,99,1,28,373,0
17,70,0,22,138,0
12,83,1,27,245,0
18,78,0,13,13,0
8,92,0,30,267,0
8,23,0,20,160,0
10,100,1,15,134,0
13,15,0,16,311,0
13,114,1,9,350,0
15,17,1,16,98,0
9,78,1,28,238,0
18,89,0,24,478,0
14,100,0,3,402,0
15,97,0,24,465,0
11,22,0,4,350,0
9,110,1,12,246,0
9,94,0,11,135,0
17,88,0,2,366,0
9,63,0,19,45,0
15,30,0,23,372,0
18,118,0,2,374,0
14,54,1,23,93,0
8,7,0,26,195,0
15,71,0,15,143,0
11,53,0,18,494,0
15,28,0,9,22,0
11,74,0,8,170,0
13,51,1,22,103,0
15,91,0,15,427,0
13,26,0,4,388,0
16,45,1,5,87,0
